Srno,EnglishRecepie,FlavourProfile,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Diet,Course,Cuisine,Region,StringCleanedLowerIngredientsFiltered,ProcessedCleanedLoweredIngredientsFiltered,common_alergens,URL
3919,Makhan Bada Recipe,Savory,30,40,70,8,Vegetarian,Dessert,Rajasthani,North India,purpose flour maida ghee dough ghee deep baking curd curd curd curd pistachios cardamom elaichi sugar water,"['flour', 'maida', 'ghee', 'dough', 'ghee', 'deep', 'fry', 'baking', 'curd', 'curd', 'curd', 'curd', 'pistachios', 'cardamom', 'elaichi', 'sugar', 'water']","['ghee', 'curd']",https://www.archanaskitchen.com/makhan-bada-recipe
3920,Pesto Paneer Sandwich,Savory,15,30,45,4,Vegetarian,World Breakfast,Continental,International,wheat brown bread slices onion tomato basil pesto paneer paneer crumbled green chilli salt butter sandwich,"['wheat', 'brown', 'bread', 'slices', 'onion', 'tomato', 'basil', 'pesto', 'paneer', 'paneer', 'crumbled', 'chilli', 'salt', 'butter', 'cook', 'sandwich']","['butter', 'paneer']",http://www.archanaskitchen.com/pesto-paneer-stuffed-french-toast-recipe
3921,Kerala Pumpkin Pachadi Recipe (Parangikai Pachadi),Tangy,10,30,40,4,Vegetarian,Lunch,Kerala Recipes,South India,kaddu parangikai pumpkin haldi haldi jaggery salt fresh coconut green chilli ginger sprig curry sunflower oil mustard urad dal sprig curry,"['kaddu', 'parangikai', 'pumpkin', 'haldi', 'haldi', 'jaggery', 'salt', 'coconut', 'chilli', 'ginger', 'sprig', 'curry', 'oil', 'mustard', 'urad', 'dal', 'sprig', 'curry']",['mustard'],https://www.archanaskitchen.com/kerala-pumpkin-pachadi-recipe-parangikai-pachadi
3922, Baby Potatoes In Tomato Gravy (Recipe In Hindi),Savory,30,20,50,4,Vegetarian,Lunch,North Indian Recipes,North India,potatoes tomato jeera chilli coriander haldi oil salt cardamom lentil water,"['potatoes', 'tomato', 'jeera', 'chilli', 'coriander', 'haldi', 'oil', 'salt', 'cardamom', 'lentil', 'water']",[],https://www.archanaskitchen.com/baby-potatoes-in-tomato-gravy-recipe-in-hindi
3923,Eggless Chocolate Chip Cupcakes With Spinach Recipe,Sweet,20,30,50,6,Vegetarian,Dessert,Continental,International,instant oats oatmeal powdered almond almond powdered cocoa coconut sugar baking baking soda spinach palak bunch coconut curd hung curd greek curd chia ripe bananas spotted bananas coconut milk milk chocolate chips,"['instant', 'oats', 'oatmeal', 'almond', 'almond', 'cocoa', 'coconut', 'sugar', 'baking', 'baking', 'soda', 'spinach', 'palak', 'bunch', 'coconut', 'curd', 'curd', 'curd', 'chia', 'bananas', 'spotted', 'bananas', 'coconut', 'milk', 'milk', 'chocolate', 'chips']","['milk', 'curd']",https://www.archanaskitchen.com/eggless-chocolate-chip-cupcakes-with-spinach-recipe
3924,Sprouted Green Gram Kosambari Recipe With Pomegranates,Sweet,10,15,25,4,Diabetic Friendly,Side Dish,Karnataka,South India,green moong sprouts carrots carrot fresh pomegranate fruit kernels green chillies fresh coconut sprig coriander coriander lemon juice salt sunflower oil mustard hinghing sprig curry,"['moong', 'sprouts', 'carrots', 'carrot', 'pomegranate', 'fruit', 'kernels', 'chillies', 'coconut', 'sprig', 'coriander', 'coriander', 'lemon', 'salt', 'oil', 'mustard', 'hinghing', 'sprig', 'curry']","['carrot', 'mustard']",http://www.archanaskitchen.com/sprouted-green-gram-kosambari-recipe
3925,Jackfruit Seed Modak Recipe,Spicy,10,60,70,10,Vegetarian,Dessert,Indian,Indian,jackfruit kathal palm sugar powdered cardamom elaichi rice flour water sesame gingelly oil salt ghee thonnai dried,"['jackfruit', 'kathal', 'palm', 'sugar', 'cardamom', 'elaichi', 'rice', 'flour', 'water', 'sesame', 'gingelly', 'oil', 'salt', 'ghee', 'thonnai']","['sesame', 'ghee']",http://www.archanaskitchen.com/jackfruit-seed-modak-recipe
3926,Whole Wheat Masala Papdi Recipe  Kadak Puri Recipe,Savory,10,40,50,6,Vegetarian,Snack,Indian,Indian,wheat flour ghee ajwain carom black pepper corns coarsely pounded salt,"['wheat', 'flour', 'ghee', 'ajwain', 'carom', 'pepper', 'corns', 'coarsely', 'pounded', 'salt']",['ghee'],https://www.archanaskitchen.com/papdi-recipe-whole-wheat-savoury-crackers
3927,Vazaithandu Neer Mor Recipe  Plantain Stem Buttermilk,Spicy,15,0,15,2,Vegetarian,Snack,South Indian Recipes,South India,plantain stem water lemon juice curry hinghing generous hing curd curd curd,"['plantain', 'stem', 'water', 'lemon', 'curry', 'hinghing', 'generous', 'hing', 'curd', 'curd', 'curd']",['curd'],http://www.archanaskitchen.com/vaazaithandu-neer-mor-recipe-plantain-stem-buttermilk
3928, Maharashtrian Aloo Bhujne (Recipe In Hindi),Savory,10,30,40,4,Vegetarian,Lunch,Maharashtrian Recipes,West India,potatoes round balls onions mustard green chili haldi ginger garlic salt oil oil wheat germ chickpea lentils methiseeds pepper coriander chillies jeera mustard haldi asafetida,"['potatoes', 'peeled', 'round', 'balls', 'onions', 'mustard', 'chili', 'haldi', 'ginger', 'garlic', 'salt', 'oil', 'oil', 'wheat', 'germ', 'chickpea', 'lentils', 'methiseeds', 'pepper', 'coriander', 'chillies', 'jeera', 'mustard', 'haldi', 'asafetida']","['mustard', 'chickpea']",http://www.archanaskitchen.com/maharashtrian-aloo-bhujne-recipe-in-hindi
3929,Pesto Pizza Recipe With Sun Dried Tomatoes Mushrooms Pineapples And Olives,Sweet,120,30,150,4,Vegetarian,Dinner,Italian Recipes,International,purpose flour maida baking soda baking garlic onion salt sugar olive oil curd curd curd water knead the dough basil olive oil saltand pepper laung garlic walnut chia pineapple button mushroom kalamata olives sun dried tomato mozzarella cheese cheddar cheese,"['flour', 'maida', 'baking', 'soda', 'baking', 'garlic', 'onion', 'salt', 'sugar', 'olive', 'oil', 'curd', 'curd', 'curd', 'water', 'knead', 'the', 'dough', 'basil', 'olive', 'oil', 'saltand', 'pepper', 'laung', 'garlic', 'walnut', 'chia', 'pineapple', 'button', 'mushroom', 'kalamata', 'olives', 'sun', 'tomato', 'mozzarella', 'cheese', 'cheddar', 'cheese']","['walnut', 'mushroom', 'cheese', 'curd']",http://www.archanaskitchen.com/pesto-pizza-recipe-with-sun-dried-tomatoes-mushrooms-pineapples-and-olives
3930,Mini Victoria Sponge Cake Recipe,Sweet,20,30,50,6,Non Vegeterian,Dessert,British,International,butter unsalted at room temperature sugar egg well beaten purpose flour maida icing sugar dusting strawberry jam canned hung curd greek curd,"['butter', 'sugar', 'egg', 'well', 'beaten', 'flour', 'maida', 'sugar', 'dusting', 'strawberry', 'jam', 'canned', 'curd', 'curd']","['butter', 'curd']",https://www.archanaskitchen.com/mini-victoria-sponge-cakes-recipe
3931,Flourless Mud Pie Recipe,Bitter,20,40,60,6,Non Vegeterian,Dessert,Continental,International,dark chocolate butter unsalted caster sugar vanilla extract almond almond egg flax egg replacer chikki peanut brittle,"['chocolate', 'butter', 'caster', 'sugar', 'vanilla', 'almond', 'meal', 'almond', 'egg', 'flax', 'meal', 'egg', 'replacer', 'chikki', 'peanut', 'brittle']",['butter'],https://www.archanaskitchen.com/flourless-mud-pie-recipe
3932,Gujarati Kachariyu Recipe  Spiced Sesame And Coconut Ladoos,Sweet,10,30,40,2,Vegetarian,Snack,Gujarati Recipes,West India,sesame til dessicated coconut almond almond melon jaggery ginger cardamom elaichi nutmeg generous dates black one dried figs ghee,"['sesame', 'til', 'coconut', 'almond', 'almond', 'melon', 'jaggery', 'ginger', 'cardamom', 'elaichi', 'nutmeg', 'generous', 'dates', 'one', 'figs', 'ghee']","['sesame', 'ghee']",https://www.archanaskitchen.com/gujarati-kachariyu-recipe-traditional-spiced-sesame-and-coconut-ladoos-with-dates-and-figs
3933,Vazhakkai Milagu Kootu Recipe  Plantains Pepper Curry,Spicy,5,15,20,4,Vegetarian,Lunch,South Indian Recipes,South India,plantain stem mustard urad dal chilli salt sunflower oil fresh coconut chana dal bengal dal black peppercorns jeera jeera hinghing chilli sunflower oil,"['plantain', 'stem', 'mustard', 'urad', 'dal', 'chilli', 'salt', 'oil', 'coconut', 'chana', 'dal', 'gram', 'dal', 'peppercorns', 'jeera', 'jeera', 'hinghing', 'chilli', 'oil']",['mustard'],https://www.archanaskitchen.com/vazhakkai-milagu-kootu-recipe-plantains-pepper-curry
3934,NoBake Chocolate Hazelnut Cheesecake Recipe,Sweet,25,400,425,4,Vegetarian,Dessert,Continental,International,oreo biscuits digestive biscuits butter unsalted britannia cream cheese at room temperature heavy whipping cream chilled nutella spread caster sugar vanilla extract gelatin agar agar water adjust hazelnut ferrero rocher chocolate,"['oreo', 'biscuits', 'digestive', 'biscuits', 'butter', 'britannia', 'cream', 'cheese', 'cream', 'chilled', 'nutella', 'spread', 'caster', 'sugar', 'vanilla', 'gelatin', 'agar', 'agar', 'water', 'adjust', 'hazelnut', 'ferrero', 'rocher', 'chocolate']","['butter', 'cheese']",http://www.archanaskitchen.com/no-bake-chocolate-hazelnut-cheesecake-recipe
3935,GilEFirdaus Recipe (Creamy  Sweet Bottlegourd Pudding),Sweet,20,45,65,6,Vegetarian,Dessert,Hyderabadi,South East India,milk bottle gourd lauki sabudana tapioca pearls basmati rice almond almond cardamom elaichi saffron strands vanilla extract condensed milk slivered almond almond ghee edible silver foilleaf chandi ka vark,"['liter', 'milk', 'bottle', 'gourd', 'lauki', 'sabudana', 'tapioca', 'pearls', 'basmati', 'rice', 'almond', 'meal', 'almond', 'cardamom', 'elaichi', 'saffron', 'vanilla', 'condensed', 'milk', 'slivered', 'almond', 'almond', 'ghee', 'edible', 'silver', 'foilleaf', 'chandi', 'ka', 'vark']","['ghee', 'milk']",http://www.archanaskitchen.com/gil-e-firdaus-recipe-creamy-sweet-bottlegourd-dessert
3936,Classic Pineapple UpsideDown Cake Recipe,Sweet,15,100,115,8,Vegetarian,Dessert,Italian Recipes,International,pineapple i have used canned pineapple glazed cherries you can alternatively also the tinned variety butter brown sugar demerara sugar cake i used pillsbury vanilla cake pineapple juice reserved from del monte pineapple slices ml sunflower oil pineapple essence food color,"['pineapple', 'i', 'have', 'used', 'canned', 'pineapple', 'glazed', 'cherries', 'you', 'can', 'alternatively', 'also', 'the', 'tinned', 'variety', 'butter', 'brown', 'sugar', 'sugar', 'cake', 'i', 'used', 'pillsbury', 'vanilla', 'cake', 'pineapple', 'reserved', 'from', 'del', 'monte', 'pineapple', 'slices', 'ml', 'oil', 'pineapple', 'essence', 'food', 'color']",['butter'],http://www.archanaskitchen.com/classic-pineapple-upside-down-cake-recipe
3937,Palak And Kala Chana Sukhi Sabzi Recipe,Spicy,30,30,60,4,Vegetarian,Side Dish,Indian,Indian,kala chana brown chickpeas overnight spinach palak washed onion tomato green chilli ginger laung garlic salt garam masala haldi haldi chilli coriander coriander bay tej patta cardamom elaichi podsseeds sunflower oil,"['chana', 'brown', 'chickpeas', 'overnight', 'spinach', 'palak', 'onion', 'tomato', 'chilli', 'ginger', 'laung', 'garlic', 'salt', 'garam', 'masala', 'haldi', 'haldi', 'chilli', 'coriander', 'coriander', 'bay', 'tej', 'patta', 'cardamom', 'elaichi', 'podsseeds', 'oil']",[],https://www.archanaskitchen.com/palak-kala-channa-sukhi-subzi-recipe
3938, Navratan Korma (Recipe In Hindi),Sweet,15,50,65,4,Vegetarian,Lunch,North Indian Recipes,North India,cashews almond melon onion tomato vegetables potato ginger garlic coconut milk haldi chilli coriander garam masala salt ghee oil pomegranate cashew raisins ghee,"['cashews', 'almond', 'melon', 'onion', 'tomato', 'vegetables', 'potato', 'ginger', 'garlic', 'coconut', 'milk', 'haldi', 'chilli', 'coriander', 'garam', 'masala', 'salt', 'ghee', 'oil', 'pomegranate', 'cashew', 'raisins', 'ghee']","['ghee', 'milk']",https://www.archanaskitchen.com/navratan-korma-recipe-in-hindi
3939, Egg and Bread Fried Rice (Recipe In Hindi),Sweet,10,20,30,4,Non Vegeterian,Dinner,Fusion,International,rice egg onion bread ginger garlic lentil sugar jeera black pepper sambar salt oil,"['rice', 'egg', 'onion', 'bread', 'ginger', 'garlic', 'lentil', 'sugar', 'jeera', 'pepper', 'sambar', 'salt', 'oil']",[],http://www.archanaskitchen.com/egg-and-bread-fried-rice-recipe-in-hindi
3940, Spiced Indian Potato Flatbread (Recipe In Hindi),Spicy,15,45,60,4,Vegetarian,North Indian Breakfast,Punjabi,North India,wheat flour salt according water dough oil ghee potatoes mash karela onion ginger green chilli haldi coriander jeera chilli garam masala sprig green coriander take mango,"['wheat', 'flour', 'salt', 'according', 'water', 'dough', 'oil', 'ghee', 'potatoes', 'boil', 'mash', 'karela', 'onion', 'ginger', 'chilli', 'haldi', 'coriander', 'jeera', 'chilli', 'garam', 'masala', 'sprig', 'coriander', 'take', 'mango']","['mango', 'ghee']",http://www.archanaskitchen.com/spiced-indian-potato-flatbread-recipe-in-hindi
3941,Quick And Spicy Bell Pepper Pasta Recipe,Spicy,10,25,35,2,Vegetarian,Dinner,Italian Recipes,International,conchiglie pasta boiled green bell peppers bell pepper capsicum bell pepper capsicum onion green chilli chilli sauce soy sauce salt ginger garlic vinegar sugar olive oil,"['conchiglie', 'pasta', 'boiled', 'bell', 'peppers', 'bell', 'pepper', 'capsicum', 'bell', 'pepper', 'capsicum', 'onion', 'chilli', 'chilli', 'soy', 'salt', 'ginger', 'garlic', 'vinegar', 'sugar', 'olive', 'oil']",[],https://www.archanaskitchen.com/quick-and-spicy-bell-pepper-pasta-recipe
3942,Angoori Rasmalai Recipe,Sweet,30,60,90,4,Vegetarian,Dessert,Bengali Recipes,East India,milk condensed milk lemon juice sugar cardamom elaichi podsseeds nuts like flaked almond pistachios garnish,"['liter', 'milk', 'condensed', 'milk', 'lemon', 'sugar', 'cardamom', 'elaichi', 'podsseeds', 'nuts', 'like', 'flaked', 'almond', 'pistachios']",['milk'],http://www.archanaskitchen.com/angoori-rasmalai-recipe-spiced-cottage-cheese-milk-pudding
3943,Pineapple Mawa Delight Recipe,Sweet,30,45,75,6,Vegetarian,Dessert,Indian,Indian,pineapple cleaned sugar cardamom elaichi saffron strands almond almond raisins fresh cream khoya mawa ghee sponge cake slice mawa cake,"['pineapple', 'cleaned', 'sugar', 'cardamom', 'elaichi', 'saffron', 'almond', 'almond', 'raisins', 'cream', 'khoya', 'mawa', 'ghee', 'sponge', 'cake', 'slice', 'mawa', 'cake']",['ghee'],http://www.archanaskitchen.com/pineapple-mawa-delight-recipe
3944,Mango  Mixed Fruit Popsicle Recipe,Sweet,15,0,15,2,Vegetarian,Dessert,Continental,International,mango juice kiwi green grape strawberries mint mint,"['mango', 'kiwi', 'peeled', 'grape', 'strawberries', 'mint', 'mint']","['mango', 'grape', 'kiwi']",https://www.archanaskitchen.com/mango-cream-popsicle-recipe
3945,Sajjappa Recipe (Stuffed Sweetened Coconut Pastry),Sweet,60,20,80,15,Vegetarian,Dessert,Karnataka,South India,purpose flour maida chiroti rava ghee salt fresh coconut dessicated coconut jaggery adjust poppy khus khus chiroti rava cardamom elaichi sunflower oil deep,"['flour', 'maida', 'chiroti', 'rava', 'ghee', 'salt', 'coconut', 'coconut', 'jaggery', 'adjust', 'poppy', 'khus', 'khus', 'chiroti', 'rava', 'cardamom', 'elaichi', 'oil', 'deep', 'fry']",['ghee'],https://www.archanaskitchen.com/sajjappa-recipe-stuffed-sweetened-coconut-pastry
3946,Shimla Mirch Ki Launji Recipe,Spicy,5,15,20,2,Vegetarian,Side Dish,North Indian Recipes,North India,green bell pepper capsicum sunflower oil kalonji onion nigella saufseeds saunf green chillies haldi haldi coriander coriander chilli amchur mango jaggery salt,"['bell', 'pepper', 'capsicum', 'oil', 'kalonji', 'onion', 'nigella', 'saufseeds', 'saunf', 'chillies', 'haldi', 'haldi', 'coriander', 'coriander', 'chilli', 'amchur', 'mango', 'jaggery', 'salt']",['mango'],http://www.archanaskitchen.com/shimla-mirch-ki-launji-recipe
3947,Spicy Yogurt ChapatiRoti Recipe,Spicy,20,25,45,4,Vegetarian,Lunch,Indian,Indian,wheat flour curd curd curd water green chillies ground coriander coriander sunflower oil jeera jeera ghee salt,"['wheat', 'flour', 'curd', 'curd', 'curd', 'water', 'chillies', 'ground', 'coriander', 'coriander', 'oil', 'jeera', 'jeera', 'ghee', 'salt']","['ghee', 'curd']",http://www.archanaskitchen.com/spicy-yogurt-chapati-recipe
3948,Bread Waffle Pizza Recipe,Savory,10,20,30,4,Vegetarian,World Breakfast,Continental,International,wheat brown bread mozzarella cheese onion green bell pepper capsicum tomato corn baby spinach black pepper pizza pasta sauce dried oregano butter grease waffle iron,"['wheat', 'brown', 'bread', 'mozzarella', 'cheese', 'onion', 'bell', 'pepper', 'capsicum', 'tomato', 'corn', 'baby', 'spinach', 'pepper', 'pizza', 'pasta', 'oregano', 'butter', 'grease', 'waffle', 'iron']","['butter', 'cheese', 'corn']",https://www.archanaskitchen.com/bread-waffle-pizza-recipe
3949,Nuchinunde  Nucchina Unde Recipe Karnataka Style Dal Steamed Pakora,Savory,150,35,185,10,Vegetarian,Snack,Karnataka,South India,arhar dal toor dal chana dal bengal dal dill green chillies ginger piece fresh coconut sprig coriander coriander curry hinghing haldi haldi salt,"['arhar', 'dal', 'toor', 'dal', 'chana', 'dal', 'gram', 'dal', 'dill', 'chillies', 'ginger', 'piece', 'coconut', 'sprig', 'coriander', 'coriander', 'curry', 'hinghing', 'haldi', 'haldi', 'salt']",[],https://www.archanaskitchen.com/nucchinunde-nucchina-unde-recipe-karnataka-style-dal-steamed-pakora
3950,Kerala Style Kappa Ulathiyathu Recipe  Tapioca Stir Fry Recipe,Savory,10,35,45,4,Vegetarian,Appetizer,Kerala Recipes,South India,tapioca root mustard shallots ginger sprig curry chilli fresh coconut haldi haldi salt coconut oil,"['tapioca', 'root', 'mustard', 'shallots', 'ginger', 'sprig', 'curry', 'chilli', 'coconut', 'haldi', 'haldi', 'salt', 'coconut', 'oil']",['mustard'],http://www.archanaskitchen.com/kerala-style-kappa-ulathiyatu-recipe-tapioca-stir-fry-recipe
3951,Minced Mutton Spring Rolls Recipe,Spicy,40,30,70,6,High Protein Non Vegetarian,Snack,Indian,Indian,mutton boneless washed onion laung garlic ginger green chillies haldi haldi chilli coriander coriander jeera jeera garam masala salt mint mint purpose flour maida corn flour water salt purpose flour maida water little,"['mutton', 'boneless', 'onion', 'laung', 'garlic', 'ginger', 'chillies', 'haldi', 'haldi', 'chilli', 'coriander', 'coriander', 'jeera', 'jeera', 'garam', 'masala', 'salt', 'mint', 'mint', 'flour', 'maida', 'corn', 'flour', 'water', 'salt', 'flour', 'maida', 'water', 'little']",['corn'],https://www.archanaskitchen.com/minced-mutton-spring-rolls-recipe
3952, Homemade Soft Idli (Recipe In Hindi),Savory,480,20,500,4,High Protein Vegetarian,South Indian Breakfast,South Indian Recipes,South India,idli dosa mixture sesame oil ghee the experiment,"['idli', 'dosa', 'mixture', 'sesame', 'oil', 'ghee', 'the', 'experiment']","['sesame', 'ghee']",https://www.archanaskitchen.com/homemade-soft-idli-recipe-in-hindi
3953,Paneer Peshawari Recipe  Cottage Cheese In Rich Gravy,Savory,10,30,40,4,Vegetarian,Lunch,Punjabi,North India,paneer paneer big onions tomato puree cashews warm water fresh cream jeera jeera tej tej patta ginger garlic haldi haldi jeera jeera garam masala kashmiri chilli coriander coriander kasuri methi dried methileaves honey butter salt,"['paneer', 'paneer', 'big', 'onions', 'tomato', 'cashews', 'warm', 'water', 'cream', 'jeera', 'jeera', 'tej', 'tej', 'patta', 'ginger', 'garlic', 'haldi', 'haldi', 'jeera', 'jeera', 'garam', 'masala', 'chilli', 'coriander', 'coriander', 'kasuri', 'methi', 'methileaves', 'honey', 'butter', 'salt']","['butter', 'paneer']",http://www.archanaskitchen.com/paneer-peshawari-recipe-cottage-cheese-in-rich-gravy
3954,Dry Fruits Meetha Paneer Paratha Recipe,Sweet,30,30,60,6,Vegetarian,Snack,Indian,Indian,wheat flour water knead dough ghee almond almond coarsely powdered cashew nuts coarsely powdered paneer paneer crumbled raisins jaggery ajwain carom cardamom elaichi elaichi dalchini,"['wheat', 'flour', 'water', 'knead', 'dough', 'ghee', 'almond', 'almond', 'coarsely', 'cashew', 'nuts', 'coarsely', 'paneer', 'paneer', 'crumbled', 'raisins', 'jaggery', 'ajwain', 'carom', 'cardamom', 'elaichi', 'elaichi', 'dalchini']","['ghee', 'paneer']",http://www.archanaskitchen.com/dry-fruits-meetha-paratha-recipe-sweet-flat-bread-packed-with-dry-fruits
3955,Aal Ke Kofte (Bottle Gourd Fritters In Spicy Gravy) Recipe,Spicy,15,60,75,4,Vegetarian,Dinner,Rajasthani,North India,ginger garlic curd curd curd onion tej tej patta black cardamom badi elaichi elaichi stick dalchini chilli haldi haldi coriander coriander salt sunflower oil water sprig coriander coriander bottle gourd lauki flour besan chilli green chillies salt water sunflower oil,"['ginger', 'garlic', 'curd', 'curd', 'curd', 'onion', 'tej', 'tej', 'patta', 'cardamom', 'badi', 'elaichi', 'elaichi', 'dalchini', 'chilli', 'haldi', 'haldi', 'coriander', 'coriander', 'salt', 'oil', 'water', 'sprig', 'coriander', 'coriander', 'bottle', 'gourd', 'lauki', 'gram', 'flour', 'besan', 'chilli', 'chillies', 'salt', 'water', 'oil']",['curd'],https://www.archanaskitchen.com/aal-ke-kofte-bottle-gourd-fritters-in-spicy-gravy-recipe
3956,Kathirikai Rasavangi Recipe  Eggplant is a Tangy Coconut Gravy,Tangy,15,20,35,2,Vegetarian,Lunch,Tamil Nadu,South India,brinjal baingan eggplant cubed arhar dal toor dal haldi haldi tamarind water jaggery powdered salt chana dal bengal dal coriander coriander chilli black peppercorns fresh coconut sesame gingelly oil mustard sprig curry,"['brinjal', 'baingan', 'eggplant', 'cubed', 'arhar', 'dal', 'toor', 'dal', 'haldi', 'haldi', 'tamarind', 'water', 'jaggery', 'salt', 'chana', 'dal', 'gram', 'dal', 'coriander', 'coriander', 'chilli', 'peppercorns', 'coconut', 'sesame', 'gingelly', 'oil', 'mustard', 'sprig', 'curry']","['sesame', 'eggplant', 'brinjal', 'mustard']",https://www.archanaskitchen.com/kathirikai-rasa-vangi-recipe-egg-plant-is-a-tangy-sweet-coconut-gravy
3957,saufInfused Mango Sorbet Recipe,Sweet,10,240,250,2,Vegetarian,Dessert,Continental,International,mango ripe puree fresh orange juice water saufseeds saunf sugar,"['mango', 'orange', 'water', 'saufseeds', 'saunf', 'sugar']",['mango'],http://www.archanaskitchen.com/sauf-infused-mango-sorbet-recipe
3958,Chilli Garlic Toast Recipe,Sweet,10,15,25,2,Vegetarian,Appetizer,Fusion,International,herb butter green chilli laung garlic wheat brown bread,"['herb', 'butter', 'chilli', 'laung', 'garlic', 'wheat', 'brown', 'bread']",['butter'],https://www.archanaskitchen.com/chilli-garlic-toast-recipe
3959,Aam Chunda Pickle Recipe  Gujarati Mango Chunda Recipe,Sweet,20,20,40,1,Vegetarian,Side Dish,Gujarati Recipes,West India,mango mango salt haldi haldi sugar sugar chilli jeera jeera roasted crushed,"['mango', 'peeled', 'peeled', 'mango', 'salt', 'haldi', 'haldi', 'sugar', 'sugar', 'chilli', 'jeera', 'jeera']",['mango'],https://www.archanaskitchen.com/chundo-chunda-a-classic-sweet-mango-gujarati-pickle-recipe
3960,Vegan Jackfruit Ice Cream Recipe With Coconut Milk,Sweet,15,0,15,4,Vegan,Dessert,Indian,Indian,ml coconut milk jackfruit ripe kathal puree sugar jackfruit ripe kathal,"['ml', 'coconut', 'milk', 'jackfruit', 'kathal', 'sugar', 'jackfruit', 'kathal']",['milk'],https://www.archanaskitchen.com/vegan-jackfruit-ice-cream-recipe-with-coconut-milk
3961, Grain Greek Yogurt Fruit Parfait Recipe,Sweet,15,0,15,4,High Protein Vegetarian,Snack,Continental,International,multigrain digestive biscuits honey hung curd greek curd chia fresh fruits seasonal,"['multigrain', 'digestive', 'biscuits', 'honey', 'curd', 'curd', 'chia', 'fruits', 'seasonal']",['curd'],http://www.archanaskitchen.com/5-grain-greek-yogurt-fruit-parfait-recipe
3962,Karuveppilai Chicken Fry Recipe Curry Leaf Flavoured Chicken,Spicy,10,45,55,4,High Protein Non Vegetarian,Appetizer,Tamil Nadu,South India,chicken onion ginger laung garlic green chillies coriander coriander haldi haldi salt sprig coriander coriander sunflower oil sprig curry elaichi stick dalchini star anise cardamom elaichi podsseeds stone flower saufseeds saunf chillies black pepper,"['chicken', 'onion', 'ginger', 'laung', 'garlic', 'chillies', 'coriander', 'coriander', 'haldi', 'haldi', 'salt', 'sprig', 'coriander', 'coriander', 'oil', 'sprig', 'curry', 'elaichi', 'dalchini', 'star', 'anise', 'cardamom', 'elaichi', 'podsseeds', 'stone', 'flower', 'saufseeds', 'saunf', 'chillies', 'pepper']",['chicken'],http://www.archanaskitchen.com/karuvepilai-chicken-fry-recipe
3963,Ripe Mango Pachadi Recipe  Ripe Mambazha Curry Recipe,Savory,10,10,20,2,Vegetarian,Side Dish,South Indian Recipes,South India,mango ripe ripe coconut milk jaggery mustard jeera jeera hinghing chilli haldi haldi chilli salt sunflower oil,"['mango', 'coconut', 'milk', 'jaggery', 'mustard', 'jeera', 'jeera', 'hinghing', 'chilli', 'haldi', 'haldi', 'chilli', 'salt', 'oil']","['mango', 'milk', 'mustard']",https://www.archanaskitchen.com/ripen-mango-pachadi-recipe-mambazha-pachadi
3964,Ellu Sadam Recipe  Sesame Rice,Tangy,20,30,50,4,Vegetarian,Lunch,South Indian Recipes,South India,basmati rice salt your sunflower oil sesame til coconut kopra chillies urad dal cashew nuts mustard curry hinghing,"['basmati', 'rice', 'salt', 'your', 'oil', 'sesame', 'til', 'coconut', 'kopra', 'chillies', 'urad', 'dal', 'cashew', 'nuts', 'mustard', 'curry', 'hinghing']","['sesame', 'mustard']",https://www.archanaskitchen.com/ellu-sadam-recipe-sesame-rice
3965,Financiers Recipe  French Almond Tea Cake,Tangy,20,30,50,4,Vegetarian,Snack,French,International,purpose flour maida almond almond icing sugar salt vanilla extract egg whites butter butter greasing pans,"['flour', 'maida', 'almond', 'meal', 'almond', 'sugar', 'salt', 'vanilla', 'egg', 'whites', 'butter', 'butter', 'greasing', 'pans']",['butter'],http://www.archanaskitchen.com/financiers-recipe-french-almond-tea-cake
3966,Spicy Broken Wheat Khichdi With Vegetables Recipe,Spicy,15,35,50,3,Vegetarian,Lunch,Indian,Indian,wheat dalia godumai rava water ginger garlic laung laung tej tej patta chilli ghee mustard jeera jeera curry torn green chillies onion tomato green peas matar carrot carrot potato aloo cubed chilli haldi haldi salt coriander coriander sprigs,"['wheat', 'dalia', 'godumai', 'rava', 'water', 'ginger', 'garlic', 'minced', 'laung', 'laung', 'tej', 'tej', 'patta', 'chilli', 'ghee', 'mustard', 'jeera', 'jeera', 'curry', 'torn', 'chillies', 'onion', 'tomato', 'peas', 'matar', 'carrot', 'carrot', 'potato', 'aloo', 'cubed', 'chilli', 'haldi', 'haldi', 'salt', 'coriander', 'coriander', 'sprigs']","['ghee', 'carrot', 'mustard']",https://www.archanaskitchen.com/spicy-broken-wheat-khichdi-with-vegetables-recipe
3967,Chenna Poda Recipe,Sweet,10,45,55,8,Vegetarian,Dessert,Oriya Recipes,East India,paneer paneer sugar powdered ghee milk rava rava rava cardamom elaichi cashew nuts raisins ghee sugar,"['paneer', 'paneer', 'sugar', 'ghee', 'milk', 'rava', 'rava', 'rava', 'cardamom', 'elaichi', 'cashew', 'nuts', 'raisins', 'ghee', 'sugar']","['ghee', 'paneer', 'milk']",https://www.archanaskitchen.com/chenna-poda-recipe
